product_id,product_title,rating,total_reviews,price,top_reviews
itm62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",4.4,370,"₹11,999","5 Must buy! So very beautiful READ MORE PM Pradeep Lakra Certified Buyer , Salem District 2 months ago 43 12 Permalink Report Abuse || 5 Simply awesome Overall Average phone Rating 10 out of 7 READ MORE Flipkart Customer Certified Buyer , Greater Noida 2 months ago 131 54 Permalink Report Abuse || 5 Terrific A budget phone that overdelivers READ MORE Flipkart Customer Certified Buyer , New Delhi 2 months ago 74 33 Permalink Report Abuse || 4 Worth the money Excellent 👍 READ MORE Mr. Naveen Certified Buyer , Bahadurgarh 2 months ago 16 4 Permalink Report Abuse"
itmc22c90e8c0882,HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq3149TU / 14s-dq3141TU Thin ...,4.2,1,"₹22,990",No reviews found
